                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.7939,                  2.479,                 1.4128,                  1.684,                 2.4809,                 1.2956,                0.51454,                0.36381,                0.36273,                0.20063,                 1.4301,                 1.7237,                 1.3126,                 1.3368,                 1.7688,                 1.2404,               0.002179,               0.002179,               0.002179
                     82,                  1.814,                 2.4824,                 1.4215,                 1.6909,                 2.4914,                 1.2942,                0.51279,                0.38683,                0.36973,                0.20466,                 1.4283,                    1.7,                 1.3089,                 1.3311,                 1.7389,                 1.2315,                0.00208,                0.00208,                0.00208
                     83,                 1.8112,                 2.4335,                 1.4256,                 1.7081,                  2.456,                 1.3104,                0.46236,                0.37105,                0.37389,                0.20675,                 1.4261,                 1.6879,                 1.3055,                 1.3285,                 1.7182,                  1.228,               0.001981,               0.001981,               0.001981
                     84,                  1.797,                 2.4314,                 1.3955,                 1.6835,                 2.4222,                 1.2784,                0.46561,                0.39012,                0.37956,                0.21107,                 1.4144,                 1.6674,                 1.2998,                 1.3319,                 1.7016,                 1.2305,               0.001882,               0.001882,               0.001882
                     85,                 1.7621,                  2.381,                 1.3896,                 1.6637,                 2.3803,                 1.2776,                0.46049,                0.39569,                0.39413,                  0.219,                 1.4052,                 1.6471,                  1.295,                 1.3294,                  1.676,                  1.227,               0.001783,               0.001783,               0.001783
                     86,                 1.7522,                 2.3427,                 1.3898,                 1.6516,                 2.3558,                 1.2795,                0.49009,                0.39748,                0.40091,                0.22425,                 1.3973,                  1.622,                 1.2928,                 1.3309,                 1.6623,                 1.2283,               0.001684,               0.001684,               0.001684
                     87,                 1.7441,                 2.3249,                 1.3872,                 1.6475,                 2.3368,                 1.2755,                0.48541,                0.41686,                0.41497,                0.23063,                 1.4057,                 1.6198,                 1.2929,                 1.3247,                 1.6677,                  1.232,               0.001585,               0.001585,               0.001585
                     88,                 1.7459,                 2.2807,                 1.3799,                 1.6485,                 2.2948,                 1.2649,                0.50166,                0.41204,                0.41808,                0.23338,                 1.4098,                 1.6114,                 1.2949,                 1.3242,                 1.6489,                  1.231,               0.001486,               0.001486,               0.001486
                     89,                 1.7623,                 2.3118,                 1.3907,                 1.6586,                 2.3208,                  1.277,                 0.5298,                0.41601,                0.42619,                0.23843,                 1.3972,                 1.5803,                 1.2885,                 1.3289,                 1.6239,                 1.2312,               0.001387,               0.001387,               0.001387
                     90,                 1.6996,                 2.2225,                 1.3481,                 1.6084,                  2.232,                 1.2462,                0.51629,                0.41412,                0.43497,                0.24531,                 1.3768,                  1.554,                 1.2779,                 1.3208,                 1.5931,                 1.2231,               0.001288,               0.001288,               0.001288
                     91,                 1.2436,                 2.0527,                 1.0879,                 1.1291,                 1.8473,                 0.9913,                0.59083,                0.40001,                0.43675,                0.24919,                 1.3646,                 1.6398,                 1.2717,                 1.3079,                 1.6332,                 1.2172,               0.001189,               0.001189,               0.001189
                     92,                 1.2303,                  1.979,                 1.0881,                 1.1218,                 1.7686,                0.98917,                0.56925,                0.40302,                 0.4418,                0.25663,                  1.363,                 1.7075,                 1.2663,                 1.3059,                 1.6822,                 1.2072,                0.00109,                0.00109,                0.00109
                     93,                 1.2118,                 1.9256,                 1.0727,                 1.1059,                 1.6933,                0.97904,                0.60666,                0.40675,                0.44591,                0.26075,                 1.3544,                 1.7426,                 1.2586,                 1.3016,                 1.7091,                  1.199,               0.000991,               0.000991,               0.000991
                     94,                 1.1918,                 1.9287,                 1.0554,                 1.0949,                 1.7015,                 0.9654,                0.59518,                0.41863,                0.44684,                 0.2613,                 1.3462,                 1.7588,                 1.2499,                 1.2887,                 1.7225,                 1.1905,               0.000892,               0.000892,               0.000892
                     95,                 1.1862,                 1.8449,                  1.055,                 1.0894,                 1.6313,                0.96115,                0.57505,                0.42163,                0.45613,                 0.2678,                 1.3467,                 1.7552,                 1.2449,                 1.2854,                 1.7105,                 1.1806,               0.000793,               0.000793,               0.000793
                     96,                 1.1698,                 1.8137,                 1.0418,                  1.079,                 1.6218,                0.95504,                0.56232,                 0.4385,                0.46557,                0.27283,                  1.343,                  1.746,                 1.2397,                 1.2808,                 1.7041,                 1.1776,               0.000694,               0.000694,               0.000694
                     97,                 1.1531,                 1.7368,                 1.0295,                 1.0734,                 1.5528,                0.94923,                0.58104,                0.44062,                0.47124,                0.27983,                 1.3351,                 1.7074,                 1.2343,                 1.2667,                 1.6919,                 1.1728,               0.000595,               0.000595,               0.000595
                     98,                 1.1313,                 1.7072,                 1.0198,                 1.0588,                  1.524,                0.94322,                0.58552,                0.44832,                0.48673,                0.28759,                 1.3267,                 1.6727,                 1.2303,                 1.2754,                 1.6374,                 1.1714,               0.000496,               0.000496,               0.000496
                     99,                 1.1178,                 1.6449,                 1.0026,                 1.0485,                 1.4588,                0.92789,                0.58917,                0.44999,                0.49603,                0.29475,                 1.3327,                 1.6252,                 1.2324,                 1.2828,                 1.5922,                 1.1793,               0.000397,               0.000397,               0.000397
                    100,                 1.0922,                 1.5999,                0.98935,                 1.0188,                 1.3885,                 0.9128,                  0.602,                0.46404,                0.50168,                0.29733,                 1.3306,                 1.5819,                 1.2298,                 1.2832,                 1.5544,                 1.1756,               0.000298,               0.000298,               0.000298
